season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2025,NBA,Anthony Black,blackan01,21.0,ORL,PG,78,10.0,1887.0,262,620,0.423,62.0,195.0,0.318,200.0,425.0,0.471,0.473,150,197,0.761,52.0,178.0,230.0,240,86.0,48.0,139.0,166.0,736,0.0
2025,NBA,Bogdan Bogdanović,bogdabo01,32.0,2TM,SG,54,4.0,1348.0,210,492,0.427,105.0,289.0,0.363,105.0,203.0,0.517,0.534,58,66,0.879,24.0,135.0,159.0,146,41.0,11.0,74.0,127.0,583,0.0
2025,NBA,Bogdan Bogdanović,bogdabo01,32.0,ATL,SG,24,0.0,598.0,83,224,0.371,44.0,146.0,0.301,39.0,78.0,0.5,0.469,30,34,0.882,12.0,54.0,66.0,49,20.0,6.0,37.0,57.0,240,0.0
2025,NBA,Bogdan Bogdanović,bogdabo01,32.0,LAC,SG,30,4.0,750.0,127,268,0.474,61.0,143.0,0.427,66.0,125.0,0.528,0.588,28,32,0.875,12.0,81.0,93.0,97,21.0,5.0,37.0,70.0,343,0.0
2025,NBA,Bol Bol,bolbo01,25.0,PHO,PF,36,10.0,448.0,96,183,0.525,32.0,93.0,0.344,64.0,90.0,0.711,0.612,20,26,0.769,20.0,84.0,104.0,22,9.0,25.0,20.0,20.0,244,0.0
2025,NBA,Adem Bona,bonaad01,21.0,PHI,C,58,11.0,905.0,135,192,0.703,0.0,1.0,0.0,135.0,191.0,0.707,0.703,67,100,0.67,92.0,153.0,245.0,27,26.0,69.0,61.0,125.0,337,0.0
2025,NBA,Devin Booker,bookede01,28.0,PHO,SG,75,75.0,2795.0,654,1420,0.461,183.0,551.0,0.332,471.0,869.0,0.542,0.525,432,483,0.894,76.0,229.0,305.0,529,67.0,16.0,220.0,198.0,1923,0.0
2025,NBA,Brandon Boston Jr.,bostobr01,23.0,NOP,SG,42,10.0,993.0,166,381,0.436,49.0,140.0,0.35,117.0,241.0,0.485,0.5,67,85,0.788,28.0,106.0,134.0,92,53.0,9.0,52.0,73.0,448,0.0
2025,NBA,Chris Boucher,bouchch01,32.0,TOR,PF,50,0.0,862.0,182,370,0.492,70.0,193.0,0.363,112.0,177.0,0.633,0.586,68,87,0.782,70.0,154.0,224.0,33,24.0,25.0,29.0,68.0,502,0.0
2025,NBA,Jamaree Bouyea,bouyeja01,25.0,MIL,PG,5,1.0,62.0,6,12,0.5,1.0,5.0,0.2,5.0,7.0,0.714,0.542,4,6,0.667,1.0,4.0,5.0,10,4.0,2.0,8.0,2.0,17,0.0
2025,NBA,Tony Bradley,bradlto01,27.0,IND,C,14,0.0,113.0,29,45,0.644,1.0,3.0,0.333,28.0,42.0,0.667,0.656,2,6,0.333,18.0,24.0,42.0,6,2.0,9.0,5.0,11.0,61,0.0
2025,NBA,Malaki Branham,branhma01,21.0,SAS,SG,47,0.0,427.0,87,190,0.458,34.0,84.0,0.405,53.0,106.0,0.5,0.547,27,33,0.818,7.0,44.0,51.0,38,11.0,2.0,34.0,29.0,235,0.0
2025,NBA,Christian Braun,braunch01,23.0,DEN,SG,79,77.0,2675.0,476,821,0.58,89.0,224.0,0.397,387.0,597.0,0.648,0.634,177,214,0.827,98.0,312.0,410.0,205,85.0,37.0,81.0,170.0,1218,0.0
2025,NBA,Jalen Bridges,bridgja01,23.0,PHO,SF,8,0.0,30.0,2,7,0.286,2.0,7.0,0.286,0.0,0.0,,0.429,3,4,0.75,0.0,4.0,4.0,0,0.0,0.0,4.0,0.0,9,0.0
2025,NBA,Mikal Bridges,bridgmi01,28.0,NYK,SF,82,82.0,3036.0,592,1183,0.5,164.0,463.0,0.354,428.0,720.0,0.594,0.57,96,118,0.814,71.0,188.0,259.0,306,75.0,43.0,132.0,127.0,1444,0.0
